,FIPS,candidatevotes,totalvotes,Lat,Long_
0,01001,18172.0,24973,32.53952745,-86.64408227
1,01003,72883.0,95215,30.72774991,-87.72207058
2,01005,5454.0,10469,31.868263,-85.3871286
3,01007,6738.0,8819,32.99642064,-87.12511459999996
4,01009,22859.0,25588,33.98210918,-86.56790593
5,01011,1140.0,4710,32.10030533,-85.71265535
6,01013,4901.0,8732,31.75300095,-86.68057478
7,01015,32865.0,47864,33.77483727,-85.82630386
8,01017,7843.0,13900,32.91360079,-85.39072749
9,01019,8953.0,10733,34.17805983,-85.60638968
10,01021,15081.0,18369,32.85044126,-86.7173256
11,01023,4106.0,7292,32.02227341,-88.26564429999998
12,01025,7140.0,13031,31.68099859,-87.83548597
13,01027,5245.0,6624,33.26984193,-85.85836077
14,01029,5764.0,6593,33.67679204,-85.52005899
15,01031,15875.0,20767,31.39932826,-85.98901039
16,01033,16746.0,24915,34.69847452,-87.80168544
17,01035,3420.0,6585,31.43401703,-86.99320044
18,01037,3381.0,5252,32.93690146,-86.24847739
19,01039,13267.0,15940,31.2477854,-86.45050893
20,01041,4513.0,6267,31.72941803,-86.31593104
21,01043,32989.0,37873,34.13020303,-86.86888037
22,01045,13808.0,18749,31.43037123,-85.61095742
23,01047,5789.0,18792,32.32688101,-87.10866709999998
24,01049,21405.0,25826,34.45946862,-85.80782906
25,01051,27634.0,37260,32.59785413,-86.14415284
26,01053,9935.0,14845,31.1256789,-87.15918694
27,01055,32353.0,44164,34.04567266,-86.04051873
28,01057,6712.0,8249,33.72076938,-87.73886638
29,01059,9466.0,12040,34.44235334,-87.84289505
30,01061,9994.0,11758,31.09389027,-85.83572839
31,01063,838.0,4880,32.85504247,-87.95684022
32,01065,3173.0,8040,32.76039258,-87.63284988
33,01067,5632.0,8072,31.51148016,-85.24267944
34,01069,30728.0,42639,31.15197924,-85.29939599
35,01071,16672.0,20984,34.78144169,-85.99750489
36,01073,134768.0,304191,33.55554728,-86.89506300000002
37,01075,5823.0,6966,33.77995024,-88.09668032
38,01077,27899.0,39525,34.90171875,-87.65624729
39,01079,10833.0,14829,34.52041498,-87.31069453
40,01081,34617.0,59191,32.60154883,-85.35132246
